REPORTE MUEBLE MAS VENDIDO
Fecha venta,ID Mueble,Nombre Producto,Precio venta
MUEBLE--,Mesa rustica
Elvis A,2021-08-26,1515,Mesa rustica,200.0
Elvis A,2020-08-26,7316,Mesa rustica,200.0
Elvis A,2021-08-20,8752,Mesa rustica,200.0
Elvis A,2020-12-26,9493,Mesa rustica,200.0
Elvis A,2020-12-26,9546,Mesa rustica,200.0
Elvis A,2020-12-26,9730,Mesa rustica,200.0
Elvis A,2020-08-26,9979,Mesa rustica,200.0
jgraasfd,2021-09-02,795,Mesa rustica,200.0
jgraasfd,2021-09-06,8525,Mesa rustica,200.0
jgraasfd,2021-09-02,8602,Mesa rustica,200.0
